prefettura,codice_prefettura,report_num,data_inizio,data_fine,casi_reportati,tasso_per_punto,soglia_epidemica_superata
Hokkaido,01,46,2025-11-10,2025-11-16,7349,44.01,TRUE
Aomori,02,46,2025-11-10,2025-11-16,1638,31.5,TRUE
Iwate,03,46,2025-11-10,2025-11-16,2348,55.9,TRUE
Miyagi,04,46,2025-11-10,2025-11-16,4401,80.02,TRUE
Akita,05,46,2025-11-10,2025-11-16,1365,54.6,TRUE
Yamagata,06,46,2025-11-10,2025-11-16,1835,47.05,TRUE
Fukushima,07,46,2025-11-10,2025-11-16,2810,58.54,TRUE
Ibaraki,08,46,2025-11-10,2025-11-16,2988,43.94,TRUE
Tochigi,09,46,2025-11-10,2025-11-16,2331,49.6,TRUE
Gunma,10,46,2025-11-10,2025-11-16,2347,52.16,TRUE
Saitama,11,46,2025-11-10,2025-11-16,12321,70.01,TRUE
Chiba,12,46,2025-11-10,2025-11-16,9838,53.47,TRUE
Tokyo,13,46,2025-11-10,2025-11-16,18707,44.75,TRUE
Kanagawa,14,46,2025-11-10,2025-11-16,13339,55.12,TRUE
Niigata,15,46,2025-11-10,2025-11-16,1349,24.53,TRUE
Toyama,16,46,2025-11-10,2025-11-16,1660,34.58,TRUE
Ishikawa,17,46,2025-11-10,2025-11-16,1805,38.4,TRUE
Fukui,18,46,2025-11-10,2025-11-16,1093,28.03,TRUE
Yamanashi,19,46,2025-11-10,2025-11-16,767,21.91,TRUE
Nagano,20,46,2025-11-10,2025-11-16,2449,30.61,TRUE
Gifu,21,46,2025-11-10,2025-11-16,1025,22.78,TRUE
Shizuoka,22,46,2025-11-10,2025-11-16,3859,27.76,TRUE
Aichi,23,46,2025-11-10,2025-11-16,6448,39.56,TRUE
Mie,24,46,2025-11-10,2025-11-16,2204,31.49,TRUE
Shiga,25,46,2025-11-10,2025-11-16,1582,27.28,TRUE
Kyoto,26,46,2025-11-10,2025-11-16,2784,41.55,TRUE
Osaka,27,46,2025-11-10,2025-11-16,9186,31.57,TRUE
Hyogo,28,46,2025-11-10,2025-11-16,6653,40.57,TRUE
Nara,29,46,2025-11-10,2025-11-16,1426,33.95,TRUE
Wakayama,30,46,2025-11-10,2025-11-16,1323,29.4,TRUE
Tottori,31,46,2025-11-10,2025-11-16,395,13.62,TRUE
Shimane,32,46,2025-11-10,2025-11-16,364,18.2,TRUE
Okayama,33,46,2025-11-10,2025-11-16,1050,21,TRUE
Hiroshima,34,46,2025-11-10,2025-11-16,1740,18.51,TRUE
Yamaguchi,35,46,2025-11-10,2025-11-16,1633,25.92,TRUE
Tokushima,36,46,2025-11-10,2025-11-16,292,8.59,TRUE
Kagawa,37,46,2025-11-10,2025-11-16,629,15.73,TRUE
Ehime,38,46,2025-11-10,2025-11-16,984,27.33,TRUE
Kochi,39,46,2025-11-10,2025-11-16,269,7.08,TRUE
Fukuoka,40,46,2025-11-10,2025-11-16,2549,20.89,TRUE
Saga,41,46,2025-11-10,2025-11-16,214,8.92,TRUE
Nagasaki,42,46,2025-11-10,2025-11-16,1220,23.92,TRUE
Kumamoto,43,46,2025-11-10,2025-11-16,1293,17.96,TRUE
Oita,44,46,2025-11-10,2025-11-16,1840,31.72,TRUE
Miyazaki,45,46,2025-11-10,2025-11-16,342,12.21,TRUE
Kagoshima,46,46,2025-11-10,2025-11-16,505,8.86,TRUE
Okinawa,47,46,2025-11-10,2025-11-16,977,21.71,TRUE
Totale Nazionale,JP,46,2025-11-10,2025-11-16,145526,37.73,TRUE
